BitMex ID,Live,Local Time,@,Cont.,30 min,Profit,60 min,Profit,"@ 7,915.5"
liqboy,?,10-07 09:22,"7,850","20,000",0,0,0,0,167
7x24MachineHunter,,10-07 09:21,"7,919","20,000",0,0,0,0,-9
Orange2515,?,10-07 09:16,"7,900","1,001,935",0,0,0,0,"1,966"
EuroQ,?,10-07 09:13,"7,881","16,001",0,0,0,0,70
alcHemis_T,?,10-07 09:12,"7,870","350,000",0,0,0,0,"2,024"
Dave585,?,10-07 09:11,"7,815","98,500",0,0,0,0,"1,267"
Anthass,?,10-07 09:00,"7,860","50,000",0,0,0,0,353
TK95,,10-07 08:26,"7,850","11,500","7,857",0,0,0,96
bateman9801,,10-07 08:25,"7,856","11,000","7,857",0,0,0,83
Alfeony25,?,10-07 08:19,"7,990","30,000","7,865",-297,"7,911",-297,-280
Coinpan-3k,?,10-07 08:15,"7,824","50,000","7,859",607,"7,919",607,585
ONE_MILIONBIT,?,10-07 08:15,"7,811","84,997","7,859","1,175","7,919","1,175","1,137"
shortmanchinda.,?,10-07 08:12,"7,820","70,000","7,854","1,029","7,935","1,029",855
fullshort-life,,10-07 08:05,"7,831","15,000","7,853",105,"7,886",105,162
fritFIAT,?,10-07 07:02,"7,818","180,000","7,812",253,"7,829",253,"2,245"
20160058,?,10-07 06:32,"7,809","505,740","7,843",194,"7,812",194,"6,897"
AlamediaResearch,,10-07 06:30,"7,824","25,000","7,843",-32,"7,814",-32,292
Gung-ye,,10-07 06:09,"7,825","10,003","7,817",4,"7,828",4,116
Fukuro,?,10-07 05:56,"7,815","4,000","7,817",12,"7,839",12,51
PersianPapi,,10-07 05:44,"7,851","27,947","7,833",-93,"7,825",-93,230
shekhararya,?,10-07 05:27,"7,839","2,100","7,836",-8,"7,811",-8,20
sugaa,,10-07 04:50,"7,874","1,500","7,874",-6,"7,844",-6,8
Grvrektt,?,10-07 04:43,"7,780","1,300","7,867",12,"7,853",12,23
Goodmonster,,10-07 04:33,"7,880","450,000","7,878",-286,"7,875",-286,"2,027"
bitnadri,?,10-07 04:31,"7,790","4,000","7,881",40,"7,868",40,64
putt100,?,10-07 04:31,"8,129","2,730","7,882",-88,"7,867",-88,-72
weeeeego,?,10-07 04:26,"7,817","13,500","7,866",98,"7,874",98,170
INDIARAJASTHANTONK,?,10-07 04:17,"7,849","1,600","7,870",4,"7,871",4,14
25k,?,10-07 04:14,"7,794","7,000","7,880",64,"7,865",64,109
shout100,?,10-07 03:33,"7,828","50,000","7,829",319,"7,878",319,559
HNT,?,10-07 03:32,"9,066","20,000","7,829","-2,638","7,870","-2,638","-2,538"
cnick1992...,?,10-07 03:29,"7,797","11,000","7,827",104,"7,871",104,167
crypto101,,10-07 03:24,"7,832","1,000","7,822",7,"7,884",7,11
lgcman2,?,10-07 03:20,"7,806","7,000","7,821",64,"7,877",64,98
Dutton,?,10-07 02:58,"7,945","8,480","7,833",-130,"7,823",-130,-31
ayyyyyLmao,,10-07 02:57,"7,806","6,000","7,833",13,"7,823",13,84
Tiniebla,?,10-07 02:13,"7,920","7,307","7,795",-89,"7,823",-89,-4
LavaDude,?,10-07 01:57,"7,932","2,000","7,813",-29,"7,818",-29,-4
cryptoUser_,,10-07 01:49,"7,831","6,241","7,811",-26,"7,798",-26,67
sffsa,?,10-07 01:46,"7,819","50,000","7,807",-153,"7,795",-153,617
Youngandrixh,?,10-07 01:34,"7,851","5,221","7,810",-31,"7,804",-31,43
BUJA-HOYA,?,10-07 01:30,"7,788","10,000","7,818",26,"7,808",26,164
sospirit,?,10-07 01:30,"7,775","4,999","7,818",21,"7,808",21,90
Dont_panic,,10-07 01:22,"7,806","6,000","7,822",7,"7,815",7,84
V-BACK,?,10-07 01:04,"7,861","1,000","7,786",-6,"7,810",-6,7
dd467,?,10-07 00:58,"7,855","1,000","7,788",-5,"7,818",-5,8
bitforyou,,10-07 00:57,"7,866","10,000","7,788",-61,"7,818",-61,63
FckSealock,,10-07 00:29,"7,856","7,000","7,861",-54,"7,795",-54,53
Juicyjjay,?,10-07 00:27,"7,805","189,000","7,876",73,"7,808",73,"2,676"
longtheshort,?,10-07 00:20,"7,942","45,000","7,861",-867,"7,789",-867,-150
yolo123,?,10-07 00:18,"7,866","1,000","7,854",-9,"7,795",-9,6
bluemaster,?,10-06 23:38,"9,228","74,838","7,847","-11,143","7,854","-11,143","-10,644"
Yjhgggg,?,10-06 23:20,"7,913","30,000","7,861",-390,"7,810",-390,9
purelux,?,10-06 23:16,"7,801","10,001","7,869",32,"7,826",32,147
alwayschungsan,?,10-06 23:15,"7,800","2,000","7,873",9,"7,835",9,30
64-Crypto,?,10-06 22:58,"7,772","2,000","7,880",21,"7,853",21,37
0.01start_from09.21,,10-06 22:46,"7,894","54,795","7,905",-201,"7,865",-201,149
gothboilovrrr,,10-06 22:41,"7,910","30,000","7,903",-155,"7,869",-155,21
ANT_CESCO,,10-06 22:34,"7,911","1,000","7,901",-5,"7,872",-5,1
stream,?,10-06 21:43,"7,873","50,000","7,891",184,"7,902",184,270
sirBogdanoff,?,10-06 21:29,"7,800","20,000","7,900",238,"7,893",238,296
UCV,?,10-06 21:19,"7,835","200,000","7,891","1,047","7,876","1,047","2,055"
jioksun,?,10-06 21:17,"7,880","40,000","7,891",0,"7,880",0,180
Ajci847,?,10-06 21:10,"7,778","4,000","7,885",58,"7,890",58,71
fakerhi,?,10-06 21:04,"8,057","8,000","7,900",-156,"7,900",-156,-140
Adventure29,?,10-06 20:57,"7,869","50,000","7,913",184,"7,898",184,295
Robo-botos,?,10-06 20:57,"7,832","4,240","7,913",36,"7,898",36,45
AbdulMalik,?,10-06 20:56,"7,832","2,000","7,913",17,"7,898",17,21
nullrefc,?,10-06 20:43,"7,850","17,500","7,880",98,"7,894",98,146
longmachine,?,10-06 20:42,"7,814","4,000","7,871",37,"7,887",37,52
