BitMex ID,Live,Local Time,@,Cont.,30 min,Profit,60 min,Profit,"@ 7,915.5"
WaveJuan,,10-07 09:23,"7,924","-1,000",0,0,0,0,1
$auceWalka,,10-07 09:20,"7,920","-13,000",0,0,0,0,7
Comeenw,,10-07 09:16,"7,920","-80,000",0,0,0,0,45
FerriteCore,,10-07 09:15,"7,923","-2,700",0,0,0,0,3
Laboum-Solbin,?,10-07 09:09,"8,342","-4,000",0,0,0,0,205
BullBearRekter,?,10-07 08:44,"7,840","-10,000","7,918",0,0,0,-96
usse,?,10-07 08:25,"7,838","-10,000","7,854",0,0,0,-99
xdxdxddd,,10-07 08:11,"7,840","-20,000","7,854",-242,"7,935",-242,-193
gimochi,?,10-07 07:54,"10,025","-40,000","7,855","8,654","7,856","8,654","8,417"
BearBully,?,10-07 07:47,"8,148","-4,000","7,881",0,0,0,114
Ewwline,?,10-07 07:45,"9,611","-12,500","7,855","2,279","7,859","2,279","2,205"
LongsAndLambos,?,10-07 07:31,"7,982","-141,000","7,827","1,961","7,871","1,961","1,175"
hellothere44,?,10-07 06:52,"7,819","-12,000","7,818",-26,"7,836",-26,-148
Looser,?,10-07 05:03,"11,600","-1,728","7,871",561,"7,836",561,549
fooh1026,?,10-07 04:54,"7,827","-4,999","7,876",-11,"7,844",-11,-57
Kagdjxguwiaoqoqoqo,?,10-07 04:53,"7,967","-4,471","7,876",69,"7,844",69,29
wuw,,10-07 04:32,"7,878","-80,000","7,878",71,"7,871",71,-381
yhw,,10-07 04:29,"7,870","-35,000","7,873",13,"7,867",13,-202
zenithRS,?,10-07 03:45,"8,060","-1,000","7,874",22,"7,880",22,18
junghunparl,,10-07 03:37,"7,828","-30,001","7,838",-284,"7,902",-284,-335
steve8143,?,10-07 03:07,"7,863","-37,000","7,823",118,"7,838",118,-247
friezadidnothingwrng,,10-07 03:02,"7,815","-8,200","7,840",-15,"7,829",-15,-105
noname007,?,10-07 02:59,"7,866","-38,000","7,833",208,"7,823",208,-239
aaaaqq,?,10-07 02:57,"8,116","-126,823","7,832","4,563","7,824","4,563","3,133"
rodolfomhn,?,10-07 02:50,"8,124","-3,500","7,826",131,"7,821",131,90
llyujf,?,10-07 02:21,"8,318","-46,701","7,802","2,762","7,826","2,762","2,260"
zhouxiao,?,10-07 02:20,"7,888","-16,000","7,798",120,"7,829",120,-56
yannick1,?,10-07 02:19,"8,229","-1,300","7,792",63,"7,829",63,50
nbvhbv7ghj,?,10-07 02:10,"7,791","-50,300","7,804",-103,"7,807",-103,-804
YhUser,?,10-07 02:03,"8,062","-200,000","7,807","5,879","7,825","5,879","3,634"
Tfs,?,10-07 01:55,"8,348","-56,000","7,813","3,636","7,806","3,636","2,901"
donguy,?,10-07 01:47,"7,800","-5,000","7,797",5,"7,792",5,-74
pingpongball,?,10-07 01:43,"8,308","-760,000","7,816","46,928","7,795","46,928","35,905"
