time,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMVRVCur,CapMrktCurUSD,CapRealUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfrCnt,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2009-01-03T00:00:00.000Z,0,0,0,,,,0,,,,,,0,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
2009-01-04T00:00:00.000Z,0,0,0,,,,0,,,,,,0,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
2009-01-05T00:00:00.000Z,0,0,0,,,,0,,,,,,0,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
2009-01-06T00:00:00.000Z,0,0,0,,,,0,,,,,,0,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
2009-01-07T00:00:00.000Z,0,0,0,,,,0,,,,,,0,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
2009-01-08T00:00:00.000Z,0,0,0,,,,0,,,,,,0,,,,,,,,,1,,,,0,0,0,0,,,,,,0,,,,
2009-01-09T00:00:00.000Z,19,19,4085,215,,,0,1,,,,,0,,950,36500,,950,,,,1,,,,950,0,0,0,,,,,,0,,,,
2009-01-10T00:00:00.000Z,61,61,13129,215.2295082,,,0,1,,,,,0,,3050,27831.25,,3050,,,,1,,,,4000,0,0,0,,,,,,0,,,,
2009-01-11T00:00:00.000Z,95,93,20308,218.3655914,,,0,1,0,,0,,0,,4650,19621.38728,,4650,,865,,1,,,,8650,1,1,10,,10,,10,,10,,,,
2009-01-12T00:00:00.000Z,101,94,21758,231.4680851,,,0,1,0,,0,,0,,4700,12850.18727,,4700,,556.25,,1,,,,13350,6,6,24,,4,,1,,24,,,,
2009-01-13T00:00:00.000Z,123,123,26530,215.6910569,,,0,1,,,,,0,,6150,11511.53846,,6150,,,,1,,,,19500,0,0,0,,,,,,0,,,,
